city,area,rooms,bathroom,parking spaces,floor,animal,furniture,hoa,rent amount,property tax,fire insurance,total
Porto Alegre,117,2,2,1,11,not acept,furnished,R$630,"R$7,130",R$150,R$91,"R$8,001"
Belo Horizonte,11,1,1,0,-,not acept,furnished,R$0,"R$1,181",R$0,R$15,"R$1,196"
Belo Horizonte,57,1,1,1,2,acept,not furnished,R$605,R$800,R$66,R$11,"R$1,482"
Campinas,16,1,1,0,1,not acept,not furnished,R$0,R$850,R$30,R$11,R$891
Belo Horizonte,180,4,3,1,4,acept,furnished,"R$1,572","R$5,000",R$240,R$64,"R$6,876"
Sao Paulo,250,3,4,2,16,acept,not furnished,"R$3,300","R$6,000",R$517,R$77,"R$9,894"
Porto Alegre,220,3,4,2,-,acept,furnished,R$0,"R$7,000",R$434,R$106,"R$7,540"
Rio de Janeiro,360,3,5,4,22,acept,not furnished,"R$2,398","R$3,135","R$1,467",R$40,"R$7,040"
Rio de Janeiro,122,3,4,3,5,acept,not furnished,Incluso,"R$4,500",R$0,R$58,"R$4,558"
Porto Alegre,138,3,4,3,2,not acept,not furnished,R$790,"R$7,000",R$690,R$89,"R$8,569"
Belo Horizonte,110,3,1,1,1,acept,not furnished,"R$1,235","R$1,400",R$0,R$18,"R$2,653"
Sao Paulo,220,4,3,3,3,acept,not furnished,"R$1,600","R$3,400",R$0,R$44,"R$5,044"
Sao Paulo,118,3,2,1,11,not acept,not furnished,"R$1,116","R$4,775",R$185,R$61,"R$6,137"
Campinas,180,2,2,1,15,acept,not furnished,"R$1,800","R$5,350",R$0,R$68,"R$7,218"
Rio de Janeiro,52,2,1,1,7,acept,not furnished,R$540,"R$1,300",R$63,R$17,"R$1,920"
Belo Horizonte,30,1,1,0,1,acept,furnished,R$0,"R$1,550",R$21,R$20,"R$1,591"
Belo Horizonte,160,3,3,2,5,acept,furnished,"R$1,650","R$1,500",R$419,R$20,"R$3,589"
Belo Horizonte,209,3,3,2,-,not acept,not furnished,R$593,"R$2,550",R$237,R$39,"R$3,419"
Porto Alegre,450,5,5,6,-,acept,not furnished,R$0,"R$9,500","R$1,345",R$143,"R$10,990"
Rio de Janeiro,117,3,3,3,10,acept,not furnished,"R$2,280","R$2,300",R$700,R$30,"R$5,310"
Campinas,900,4,6,8,-,acept,not furnished,R$0,"R$15,000","R$4,417",R$226,"R$19,640"
Sao Paulo,200,3,3,0,-,acept,not furnished,Sem info,"R$4,500",R$71,R$68,"R$4,639"
Porto Alegre,128,3,3,2,10,acept,not furnished,"R$2,600","R$3,800",R$605,R$49,"R$7,054"
Campinas,140,3,2,2,2,acept,not furnished,"R$1,480","R$3,700",R$167,R$47,"R$5,394"
Campinas,180,3,3,4,27,acept,not furnished,"R$2,000","R$7,000",R$859,R$89,"R$9,948"
Porto Alegre,280,4,4,5,9,acept,not furnished,"R$3,000","R$3,200",R$875,R$41,"R$7,116"
Rio de Janeiro,420,4,6,4,8,acept,not furnished,"R$3,500","R$15,000","R$2,250",R$191,"R$20,940"
Rio de Janeiro,48,1,1,1,8,acept,furnished,R$740,"R$2,700",R$137,R$35,"R$3,612"
Belo Horizonte,148,3,2,2,2,not acept,furnished,"R$2,830","R$9,000",R$267,R$115,"R$12,210"
Sao Paulo,75,2,1,1,5,not acept,not furnished,R$748,"R$2,000",R$0,R$26,"R$2,774"
Rio de Janeiro,44,1,1,0,1,not acept,not furnished,R$417,"R$3,016",R$0,R$12,"R$3,445"
Rio de Janeiro,35,1,1,0,-,acept,not furnished,R$0,"R$1,100",R$30,R$14,"R$1,144"
Belo Horizonte,320,4,2,2,-,acept,furnished,R$0,"R$8,000",R$642,R$121,"R$8,763"
Porto Alegre,98,3,2,1,1,acept,not furnished,R$727,"R$1,233",R$84,R$16,"R$2,060"
Rio de Janeiro,51,1,1,0,12,not acept,furnished,R$707,"R$1,300",R$45,R$17,"R$2,069"
Sao Paulo,322,4,5,5,17,acept,furnished,"R$2,700","R$15,000","R$1,875",R$191,"R$19,770"
Sao Paulo,187,4,5,3,5,acept,not furnished,"R$3,912","R$5,300","R$1,424",R$68,"R$10,700"
