id,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms_text,bedrooms,beds,reviews_per_month,price
40147520,9/6/19,1,within an hour,100%,100%,f,68,t,t,Copacabana,-22.97272,-43.18647,Entire home/apt,2,1 bath,1,1,0.23,180
48287400,4/23/14,1,N/A,N/A,N/A,f,2,t,t,Santa Teresa,-22.91676,-43.18094,Private room,2,5.5 shared baths,,2,,100
5.98007E+17,3/2/17,0,N/A,N/A,N/A,,1,t,t,Praa da Bandeira,-22.91109,-43.21139,Private room,1,1 shared bath,,1,0.21,60
6.30371E+17,5/19/22,0,within a few hours,100%,88%,f,1,t,t,Copacabana,-22.967981,-43.182266,Entire home/apt,3,1 bath,1,2,1.34,180
47225318,11/19/11,1,within an hour,100%,94%,t,74,t,t,Ipanema,-22.98483,-43.19856,Entire home/apt,4,2 baths,2,2,,2000
42895854,7/25/12,1,N/A,N/A,67%,f,1,t,t,Ipanema,-22.98347,-43.19772,Entire home/apt,4,2 baths,2,2,,700
6.57917E+17,4/8/13,0,N/A,N/A,N/A,f,1,t,t,Copacabana,-22.9638559,-43.1767291,Entire home/apt,7,1 bath,2,3,,550
6.97865E+17,8/19/22,0,N/A,N/A,86%,,1,t,t,Maracan,-22.91107,-43.21946,Private room,2,1 shared bath,,1,,220
6.90482E+17,7/11/16,1,within a day,100%,100%,,7,t,t,Barra de Guaratiba,-23.0642,-43.56725,Private room,2,1 private bath,,1,0.11,330
6.45085E+17,5/4/21,1,within an hour,100%,100%,f,3,t,t,Barra da Tijuca,-23.01127,-43.33445,Entire home/apt,4,1 bath,2,3,2.44,357
54125284,7/1/19,1,within an hour,100%,100%,,1,t,t,Curicica,-22.95892,-43.385,Private room,2,1 private bath,,1,3.73,84
17025190,8/7/16,0,N/A,N/A,0%,,3,t,f,Centro,-22.91251,-43.18466,Private room,1,1 private bath,,1,,383
7783268,8/9/15,0,N/A,N/A,N/A,,4,t,t,Vila Isabel,-22.91429,-43.24962,Private room,2,2 shared baths,,1,,500
7.73591E+17,7/26/22,0,a few days or more,0%,50%,,1,t,t,Del Castilho,-22.876123,-43.2684153,Private room,2,1 shared bath,,1,0.18,236
51172485,8/27/18,0,N/A,N/A,0%,,2,t,t,So Conrado,-22.99664,-43.26748,Private room,2,1 shared bath,,1,,280
9.15089E+17,8/25/22,0,within an hour,100%,N/A,f,2,t,t,Bangu,-22.89052,-43.46969,Entire home/apt,2,1 bath,1,1,,60
6.07417E+17,4/17/22,0,N/A,N/A,100%,f,1,t,t,Ipanema,-22.98158,-43.20062,Entire home/apt,4,2 baths,2,3,0.24,500
8.92817E+17,9/6/13,1,within a few hours,93%,78%,f,23,t,t,Ipanema,-22.9856769,-43.2038481,Entire home/apt,4,2.5 baths,2,4,1,650
32991870,6/14/16,1,within a few hours,88%,65%,f,113,t,t,Ipanema,-22.98306,-43.21336,Entire home/apt,6,2 baths,3,4,0.49,503
8.28813E+17,1/28/13,1,within an hour,100%,97%,t,11,t,f,Copacabana,-22.98069615,-43.18999561,Entire home/apt,3,1 bath,1,2,1.02,227
7.04201E+17,10/26/15,0,within an hour,71%,60%,,6,t,t,So Conrado,-22.99592,-43.26144,Private room,2,1 shared bath,,1,0.1,459
44556427,5/18/11,1,within a few hours,96%,74%,f,116,t,t,Ipanema,-22.98193,-43.20269,Entire home/apt,2,1 bath,1,1,0.5,474
